Região,ano,internacoes
Norte,2015,7368
Nordeste,2015,40466
Sudeste,2015,90624
Sul,2015,70659
Centro-Oeste,2015,19659
Norte,2016,7568
Nordeste,2016,38110
Sudeste,2016,82235
Sul,2016,70325
Centro-Oeste,2016,17555
Norte,2017,7478
Nordeste,2017,36802
Sudeste,2017,81205
Sul,2017,73799
Centro-Oeste,2017,17417
Norte,2018,8011
Nordeste,2018,38065
Sudeste,2018,85122
Sul,2018,76356
Centro-Oeste,2018,18246
Norte,2019,7737
Nordeste,2019,40364
Sudeste,2019,93861
Sul,2019,76231
Centro-Oeste,2019,19137
Norte,2020,7367
Nordeste,2020,34880
Sudeste,2020,76259
Sul,2020,63525
Centro-Oeste,2020,16094
Norte,2021,8141
Nordeste,2021,37352
Sudeste,2021,77416
Sul,2021,64226
Centro-Oeste,2021,16251
Norte,2022,9107
Nordeste,2022,40731
Sudeste,2022,87016
Sul,2022,71389
Centro-Oeste,2022,17918
Norte,2023,10864
Nordeste,2023,44023
Sudeste,2023,99960
Sul,2023,79003
Centro-Oeste,2023,18633
Norte,2024,11159
Nordeste,2024,44523
Sudeste,2024,106338
Sul,2024,81917
Centro-Oeste,2024,18018
