capítulo-cid-10,ano,internacoes
V.   Transtornos mentais e comportamentais,2015,228776
V.   Transtornos mentais e comportamentais,2016,215793
V.   Transtornos mentais e comportamentais,2017,216701
V.   Transtornos mentais e comportamentais,2018,225800
V.   Transtornos mentais e comportamentais,2019,237330
V.   Transtornos mentais e comportamentais,2020,198125
V.   Transtornos mentais e comportamentais,2021,203386
V.   Transtornos mentais e comportamentais,2022,226161
V.   Transtornos mentais e comportamentais,2023,252483
V.   Transtornos mentais e comportamentais,2024,261955
